,N,NaiveMults,NaiveTime,PipMults,PipTime,bits
0,1,22,4.553794860839844e-05,36,0.0002808570861816406,16
1,2,40,8.153915405273438e-05,36,0.0002353191375732422,16
2,3,63,0.0001671314239501953,54,0.0003349781036376953,16
3,4,96,0.00019621849060058594,80,0.0005033016204833984,16
4,5,109,0.00022554397583007812,71,0.0004487037658691406,16
5,6,121,0.00022912025451660156,77,0.00048041343688964844,16
6,7,151,0.0002830028533935547,89,0.00055694580078125,16
7,8,172,0.0005974769592285156,93,0.0010089874267578125,16
8,9,211,0.0009381771087646484,114,0.0016617774963378906,16
9,10,213,0.0009200572967529297,122,0.002247333526611328,16
10,11,256,0.00080108642578125,132,0.0010094642639160156,16
11,12,243,0.0009725093841552734,134,0.0018839836120605469,16
12,13,282,0.0010933876037597656,145,0.002936840057373047,16
13,14,298,0.0016355514526367188,152,0.005583763122558594,16
14,15,340,0.002883434295654297,166,0.0035936832427978516,16
15,1,45,0.0003108978271484375,55,0.0010399818420410156,32
16,2,96,0.0005676746368408203,92,0.0014879703521728516,32
17,3,147,0.0007047653198242188,111,0.0015401840209960938,32
18,4,177,0.0009417533874511719,110,0.0012085437774658203,32
19,5,222,0.0018167495727539062,134,0.002894878387451172,32
20,6,276,0.0011692047119140625,150,0.0017368793487548828,32
21,7,326,0.0018877983093261719,172,0.0027022361755371094,32
22,8,363,0.0018239021301269531,186,0.0047724246978759766,32
23,9,423,0.00237274169921875,176,0.0024521350860595703,32
24,10,454,0.002421140670776367,193,0.004654407501220703,32
25,11,495,0.001588582992553711,204,0.002607583999633789,32
26,12,570,0.00310516357421875,230,0.005350351333618164,32
27,13,595,0.002699613571166992,242,0.005739688873291016,32
28,14,630,0.0031278133392333984,257,0.002540111541748047,32
29,15,691,0.0035848617553710938,276,0.004733085632324219,32
30,16,721,0.003497600555419922,275,0.004702329635620117,32
31,17,782,0.00407719612121582,307,0.005154132843017578,32
32,18,839,0.0023458003997802734,336,0.0033600330352783203,32
33,19,863,0.0065343379974365234,333,0.004956722259521484,32
34,20,937,0.00274658203125,361,0.00705409049987793,32
35,21,953,0.0033838748931884766,362,0.0032219886779785156,32
36,22,1015,0.0021097660064697266,368,0.004968404769897461,32
37,23,1017,0.0035676956176757812,365,0.006209373474121094,32
38,24,1098,0.0053746700286865234,391,0.0026178359985351562,32
39,25,1164,0.0022954940795898438,411,0.004956960678100586,32
40,26,1166,0.004292011260986328,428,0.00799107551574707,32
41,27,1216,0.0035991668701171875,438,0.00583648681640625,32
42,28,1269,0.003779888153076172,449,0.004928112030029297,32
43,29,1314,0.004611968994140625,463,0.003682374954223633,32
44,30,1380,0.0029761791229248047,484,0.005368471145629883,32
45,31,1413,0.004374504089355469,492,0.006772041320800781,32
46,1,88,0.0001621246337890625,116,0.0005893707275390625,64
47,3,284,0.0010561943054199219,192,0.002634286880493164,64
48,5,476,0.0030329227447509766,242,0.0024368762969970703,64
49,7,664,0.0018131732940673828,308,0.0023336410522460938,64
50,9,828,0.00366973876953125,336,0.0020940303802490234,64
51,11,1022,0.002427816390991211,402,0.003685474395751953,64
52,13,1224,0.0024743080139160156,471,0.0048694610595703125,64
53,15,1397,0.0032699108123779297,488,0.05118393898010254,64
54,17,1608,0.00525212287902832,549,0.0059282779693603516,64
55,19,1797,0.004639387130737305,602,0.004790067672729492,64
56,21,1996,0.0059413909912109375,658,0.003999948501586914,64
57,23,2172,0.006661415100097656,634,0.008095502853393555,64
58,25,2344,0.006033658981323242,681,0.00677490234375,64
59,27,2507,0.006226539611816406,721,0.006275653839111328,64
60,29,2718,0.0054666996002197266,771,0.009824275970458984,64
61,31,2872,0.008359432220458984,815,0.009097576141357422,64
62,33,3098,0.005654335021972656,881,0.009194135665893555,64
63,35,3265,0.005343437194824219,916,0.009705066680908203,64
64,37,3499,0.006722688674926758,987,0.009983539581298828,64
65,39,3645,0.0077860355377197266,1004,0.007807493209838867,64
66,41,3857,0.008709430694580078,1061,0.00677180290222168,64
67,43,4026,0.012188434600830078,1131,0.013026237487792969,64
68,45,4211,0.009329080581665039,1174,0.008977174758911133,64
69,47,4388,0.008678197860717773,1217,0.010166645050048828,64
70,49,4623,0.010704278945922852,1277,0.015345096588134766,64
71,51,4789,0.007999897003173828,1309,0.011613607406616211,64
72,53,4969,0.016644001007080078,1354,0.015079736709594727,64
73,55,5174,0.011494636535644531,1370,0.014110565185546875,64
74,57,5356,0.014333248138427734,1404,0.022150278091430664,64
75,59,5601,0.01210165023803711,1466,0.016156673431396484,64
76,61,5788,0.010193347930908203,1517,0.01487278938293457,64
77,63,5964,0.011039972305297852,1562,0.013440847396850586,64
78,1,188,0.0003199577331542969,216,0.0007622241973876953,128
79,4,751,0.0020194053649902344,373,0.0022399425506591797,128
80,7,1346,0.0039713382720947266,569,0.006777048110961914,128
81,10,1888,0.009188413619995117,702,0.013112783432006836,128
82,13,2445,0.006854057312011719,796,0.015103340148925781,128
83,16,3052,0.008110523223876953,870,0.011263847351074219,128
84,19,3572,0.014121532440185547,1013,0.012681245803833008,128
85,22,4155,0.01101064682006836,1159,0.012403011322021484,128
86,25,4802,0.013938426971435547,1321,0.016298294067382812,128
87,28,5380,0.009565114974975586,1471,0.010616064071655273,128
88,31,5891,0.011268854141235352,1621,0.016609907150268555,128
89,34,6484,0.011344194412231445,1605,0.009126901626586914,128
90,37,7045,0.015421628952026367,1719,0.014435529708862305,128
91,40,7557,0.01422119140625,1852,0.011098384857177734,128
92,43,8261,0.014678001403808594,1999,0.017034292221069336,128
93,46,8761,0.018828868865966797,2122,0.014030218124389648,128
94,49,9234,0.018044710159301758,2232,0.014920711517333984,128
95,52,9845,0.020956993103027344,2364,0.022115707397460938,128
96,55,10435,0.02411484718322754,2276,0.023642301559448242,128
97,58,11048,0.019247055053710938,2380,0.018000125885009766,128
98,61,11588,0.020303726196289062,2506,0.025642871856689453,128
99,64,12169,0.026402711868286133,2618,0.019268274307250977,128
100,67,12659,0.02739429473876953,2732,0.020496606826782227,128
101,70,13280,0.03077411651611328,2830,0.020903825759887695,128
102,73,13839,0.03679347038269043,2965,0.02825450897216797,128
